item_id,titre,genre,annee,duree_min,score_critique
0,Film_000,Action,2002,179,6.1
1,Film_001,Animation,2020,156,6.3
2,Film_002,Romance,2006,108,6.1
3,Film_003,Thriller,2013,177,6.7
4,Film_004,Thriller,2005,127,8.7
5,Film_005,Animation,1999,127,2.7
6,Film_006,Action,2015,120,6.1
7,Film_007,Romance,2022,90,6.8
8,Film_008,Comedie,1998,173,6.9
9,Film_009,Action,2016,76,5.9
10,Film_010,SF,1998,93,3.9
11,Film_011,Documentaire,2014,99,7.0
12,Film_012,Romance,2016,104,9.1
13,Film_013,Animation,2005,88,4.2
14,Film_014,Romance,2015,76,7.8
15,Film_015,Animation,1999,146,6.0
16,Film_016,SF,1992,176,6.4
17,Film_017,Comedie,1993,87,4.9
18,Film_018,Animation,2005,106,6.0
19,Film_019,Thriller,2020,128,8.5
20,Film_020,SF,1994,172,7.4
21,Film_021,Drame,2005,147,9.1
22,Film_022,Comedie,2013,155,8.3
23,Film_023,Documentaire,1996,136,7.2
24,Film_024,Animation,2014,118,9.1
25,Film_025,Romance,2000,95,7.2
26,Film_026,Thriller,2017,165,7.7
27,Film_027,Animation,2009,159,6.1
28,Film_028,SF,2008,77,6.6
29,Film_029,Thriller,1996,150,5.5
30,Film_030,Thriller,2005,83,8.0
31,Film_031,Comedie,2019,152,4.7
32,Film_032,Action,1990,161,7.7
33,Film_033,SF,2015,88,6.2
34,Film_034,Documentaire,2006,120,8.3
35,Film_035,Action,2014,87,7.6
36,Film_036,Animation,2012,134,9.2
37,Film_037,Animation,2004,172,7.6
38,Film_038,Drame,2000,83,4.1
39,Film_039,Romance,2011,116,6.4
40,Film_040,Comedie,1994,177,4.7
41,Film_041,Animation,2009,106,5.7
42,Film_042,Romance,1993,88,8.8
43,Film_043,Drame,2012,126,7.5
44,Film_044,Action,2011,128,5.5
45,Film_045,Documentaire,1992,144,5.0
46,Film_046,Thriller,2015,107,6.5
47,Film_047,Documentaire,2004,175,4.7
48,Film_048,Romance,2016,129,5.5
49,Film_049,Animation,1991,105,7.0
50,Film_050,Animation,1996,175,8.2
51,Film_051,Comedie,2006,172,7.4
52,Film_052,Drame,1996,127,3.1
53,Film_053,Thriller,2001,77,7.0
54,Film_054,Thriller,2012,137,6.6
55,Film_055,Action,1994,133,7.1
56,Film_056,SF,2013,90,8.9
57,Film_057,Comedie,1993,141,3.4
58,Film_058,Romance,1995,163,5.6
59,Film_059,Romance,2009,86,7.4
60,Film_060,Documentaire,2016,150,4.1
