user_id,item_id,rating
146,122,4
364,149,3
53,47,2
154,35,3
233,68,4
270,95,2
440,148,3
461,51,3
148,112,3
269,0,3
11,6,3
308,193,3
76,170,3
36,172,4
335,65,4
89,102,3
238,134,3
50,50,3
372,148,3
382,138,3
287,81,3
417,86,3
218,61,3
93,160,2
75,197,3
109,199,3
100,154,3
161,69,3
107,156,4
295,48,3
74,179,3
310,53,4
167,80,4
343,18,3
256,16,3
452,78,2
219,110,3
147,3,2
294,169,3
329,22,3
219,199,4
279,54,4
235,75,3
152,31,4
156,164,3
453,146,3
337,15,3
47,21,3
481,121,2
356,173,3
25,21,3
363,44,3
294,109,3
457,21,3
244,60,3
259,2,3
157,99,3
160,143,3
308,82,3
413,51,3
445,84,3
385,101,3
304,33,4
250,22,3
169,36,3
383,197,3
159,144,3
133,25,3
433,60,3
294,82,3
177,36,4
432,170,4
481,188,4
158,48,3
260,3,3
241,53,4
350,116,3
475,161,4
274,67,3
399,54,3
297,49,3
443,0,3
202,2,4
192,85,3
211,123,3
498,2,3
305,40,3
76,181,4
20,198,3
259,128,4
402,104,3
239,116,3
280,74,4
399,40,3
258,75,3
454,139,3
318,132,2
365,135,3
390,121,3
313,12,4
25,125,3
213,176,3
70,129,3
255,115,3
71,44,3
254,158,3
171,90,3
10,52,2
62,97,4
251,24,3
39,185,3
427,140,2
379,65,3
354,158,3
86,10,3
397,77,3
317,130,3
195,4,3
0,141,3
264,163,4
397,118,3
16,41,3
26,149,3
191,67,4
255,147,3
237,125,3
213,18,3
127,19,3
29,3,4
15,14,3
49,59,3
345,5,3
392,187,3
217,183,3
38,34,3
207,62,4
492,148,3
124,132,4
245,116,3
268,197,3
164,125,4
219,133,3
235,100,3
236,105,3
358,58,4
290,104,3
26,183,2
3,75,3
205,26,4
453,119,3
18,157,4
35,191,2
339,108,3
225,157,2
115,50,4
103,84,3
332,83,3
261,66,3
319,143,3
140,176,3
263,65,3
430,27,3
158,165,3
198,169,4
81,186,3
319,51,4
16,143,3
124,143,3
356,158,4
9,161,4
494,190,3
202,95,2
199,15,3
268,38,3
319,177,3
229,168,2
442,2,4
481,73,4
100,49,4
353,64,4
150,127,3
497,102,3
126,96,3
147,87,2
357,128,3
394,136,3
64,8,3
277,27,3
172,68,4
305,87,4
278,199,3
492,178,3
466,129,4
326,7,3
339,20,3
449,91,3
91,117,3
362,132,2
386,28,3
63,177,2
440,98,3
349,118,3
173,7,3
242,164,3
244,108,3
459,44,3
484,63,3
403,70,3
326,5,3
52,188,3
457,160,3
66,177,3
83,70,2
34,111,3
473,91,3
246,95,3
117,117,3
40,90,3
205,154,3
361,11,3
497,38,3
276,178,3
303,176,3
417,163,3
450,73,3
139,91,3
495,5,3
259,55,2
465,145,3
58,68,3
48,96,2
442,24,3
336,99,2
87,144,3
447,114,3
51,111,3
341,182,3
102,46,3
35,59,3
403,124,3
423,96,4
52,195,3
46,11,3
307,24,2
14,68,3
373,91,3
457,178,3
375,98,3
115,87,3
95,33,3
340,86,3
30,106,3
268,116,3
224,121,3
372,85,3
101,31,3
381,30,3
349,30,3
119,123,3
178,171,2
33,176,3
224,62,3
130,15,3
56,126,3
279,7,3
283,125,3
42,76,3
92,167,3
41,125,3
339,147,3
169,81,3
35,168,3
95,105,3
487,125,4
127,72,3
342,89,3
234,168,2
90,78,3
153,4,3
7,75,3
373,78,3
167,83,2
249,14,3
76,25,3
412,64,4
109,84,3
283,5,3
436,77,3
356,64,3
301,6,3
444,50,3
88,55,3
481,28,3
278,150,3
204,14,3
127,115,3
372,133,4
488,161,3
345,109,3
16,108,3
234,152,3
366,170,3
198,42,3
386,159,3
353,92,4
33,19,3
278,122,3
85,195,3
243,28,4
192,2,3
403,183,3
434,119,3
230,43,3
268,158,3
313,78,2
327,66,3
317,57,3
391,119,4
490,26,3
414,72,3
67,61,3
238,12,3
230,152,3
254,1,3
264,191,3
359,18,3
210,71,3
131,19,3
228,73,4
427,122,3
155,17,3
10,105,3
488,154,3
97,91,3
301,22,3
400,138,3
137,37,3
170,3,2
140,87,3
74,54,4
76,5,3
93,155,4
229,119,4
265,181,4
7,96,3
423,87,4
337,168,3
35,16,2
421,72,4
15,159,3
280,58,4
232,177,3
251,56,3
478,82,3
463,179,3
139,48,3
289,193,2
479,8,3
364,53,4
443,118,3
217,118,4
141,181,2
255,191,2
408,135,3
464,131,3
342,63,3
353,161,2
255,128,2
159,4,3
211,166,3
248,71,3
407,95,4
277,97,3
396,163,3
13,53,3
378,78,3
253,7,3
499,69,4
235,17,4
63,178,3
403,92,3
350,182,4
431,195,3
46,10,4
105,103,3
438,105,2
21,77,3
254,166,2
202,78,3
469,11,3
428,109,3
448,40,4
144,70,2
293,100,3
350,144,3
483,55,2
3,76,2
488,13,3
177,76,3
64,116,3
307,123,2
390,58,3
64,12,3
20,115,3
448,131,3
466,17,3
78,100,3
452,19,3
454,90,3
498,128,4
108,143,3
289,142,3
497,151,3
451,48,3
302,169,4
98,69,3
42,74,3
129,157,3
32,65,3
97,14,3
37,142,3
381,132,3
294,116,3
258,28,3
404,126,3
205,39,2
201,111,3
103,101,3
222,154,4
87,195,3
294,38,3
498,22,3
266,111,4
149,190,3
344,31,3
410,97,3
235,81,3
125,63,3
356,132,3
93,59,4
498,98,3
158,169,3
175,75,3
363,4,3
6,176,3
101,54,3
62,154,3
195,152,4
276,105,3
89,17,3
172,190,3
386,136,3
469,84,3
7,170,3
313,157,3
12,152,3
260,33,3
439,126,3
399,57,3
116,15,3
129,67,3
391,20,4
409,21,3
140,145,3
1,100,3
222,79,3
309,38,3
221,154,3
467,126,2
406,117,3
393,38,3
10,24,4
426,24,3
377,5,3
198,193,3
294,73,3
412,131,4
453,196,3
275,187,3
20,64,3
309,97,3
340,92,2
29,6,3
408,153,3
100,114,3
445,74,3
275,111,3
161,147,3
29,2,2
8,129,3
370,172,4
188,145,3
420,123,2
115,18,3
460,148,3
470,150,3
50,98,3
323,116,3
469,123,3
161,24,3
33,51,3
437,158,3
237,194,3
13,54,3
420,80,2
339,183,4
35,32,3
129,52,4
9,11,3
477,46,2
12,127,3
397,69,3
255,196,4
291,178,4
405,179,3
447,145,3
63,140,4
8,101,3
62,198,3
341,19,3
284,144,3
41,28,3
117,67,3
268,51,4
365,120,3
171,157,2
474,15,3
496,120,3
383,44,3
227,15,3
438,83,3
363,116,3
259,40,2
221,77,3
416,190,3
278,69,3
91,199,2
499,166,3
34,74,3
347,115,3
327,141,3
293,92,3
25,81,3
246,65,3
446,27,3
119,4,3
345,67,3
429,159,3
476,46,3
258,35,3
156,65,4
349,119,2
243,43,3
313,44,3
370,22,3
355,66,3
121,43,3
377,166,3
270,181,3
465,74,4
329,17,3
445,17,3
489,64,3
497,92,3
372,105,3
298,60,3
59,70,3
193,56,3
237,103,2
390,139,3
294,8,3
219,95,2
73,129,3
357,134,3
215,112,4
18,105,3
142,136,2
439,75,3
59,113,3
203,63,3
256,87,5
41,24,3
82,70,3
470,28,3
295,45,3
105,83,3
84,100,3
212,188,3
361,5,3
365,179,3
97,65,3
362,144,3
448,135,3
113,194,3
13,21,3
479,193,3
260,12,3
388,175,3
160,130,3
149,96,4
112,79,3
108,18,3
235,160,4
52,145,3
421,187,3
255,146,3
457,191,3
251,177,3
151,85,2
257,140,4
77,52,3
412,159,3
360,121,3
73,88,3
290,125,3
268,55,3
100,124,3
61,94,2
380,64,3
132,195,3
259,12,3
123,151,3
326,42,3
24,44,2
179,30,3
273,20,3
219,24,3
306,166,3
90,185,2
220,116,2
378,2,3
166,172,3
78,120,3
423,104,3
389,189,3
340,81,3
399,72,3
389,155,3
373,105,3
254,143,3
9,139,4
298,167,3
136,63,2
386,14,4
234,95,4
452,129,3
297,163,3
275,53,3
459,149,3
237,166,3
187,161,3
185,161,2
437,197,3
378,132,3
81,74,3
246,87,2
185,149,3
323,47,3
26,120,3
357,114,2
371,133,3
113,84,3
75,147,3
313,14,2
128,149,3
470,162,3
387,177,3
477,184,2
267,69,3
469,9,3
6,130,3
144,18,3
1,56,4
338,140,4
255,118,3
143,121,3
152,150,3
321,32,3
90,158,2
257,117,3
306,84,3
119,92,2
114,101,3
177,110,3
296,66,3
127,44,3
189,33,3
271,68,4
93,52,3
284,103,3
69,182,3
71,21,4
118,61,3
143,9,3
14,194,3
480,140,3
154,48,3
402,82,3
450,144,3
400,191,3
415,114,3
50,54,3
186,139,3
373,137,3
287,128,3
2,9,3
283,141,4
402,3,3
414,181,3
191,176,3
118,112,3
154,129,3
148,13,3
173,174,3
150,54,3
228,52,3
20,141,4
137,187,2
157,98,3
76,101,3
438,109,3
337,58,3
455,119,3
280,192,3
54,76,3
452,154,3
229,154,3
342,170,3
190,144,3
247,184,2
244,142,3
142,195,3
277,143,4
366,167,3
10,178,4
65,196,3
421,119,2
284,142,3
486,193,3
302,76,3
326,23,3
449,176,3
330,126,3
164,85,3
263,143,3
117,6,4
167,95,5
340,53,3
74,57,3
335,193,2
292,110,3
154,28,3
22,72,4
352,48,2
412,181,4
365,58,3
326,66,3
207,35,3
179,156,2
163,115,2
105,87,3
484,79,3
333,133,3
87,19,3
432,186,3
75,112,3
296,45,3
82,107,3
180,170,3
329,34,3
499,104,3
495,119,2
447,162,3
117,113,4
46,147,3
461,178,4
139,72,3
9,140,3
323,49,3
38,168,3
20,190,3
468,58,3
247,112,3
56,164,3
327,5,3
184,141,3
268,164,3
449,174,3
118,39,3
323,151,2
414,157,4
211,0,3
485,141,3
224,125,3
229,193,3
442,8,3
317,193,3
434,114,3
395,54,4
356,77,3
120,153,3
199,199,3
